Year,S. No.,Train Number,From Station,Station To,Nature,Frequency
2014-15,1,55613/55614,Dekargaon,Naharlagun,Passenger,Daily
2014-15,2,55813/55814,Dekargaon,Murkongselek,Passenger,Daily
2014-15,3,22117/22118,Guntur,Kacheguda,Double Decker Express,Bi-Weekly
2014-15,4,56033/56034,Mannargudi,Mayiladuthurai,Passenger,Daily
2014-15,5,22119/22120,Kacheguda,Tirupati,Double Decker Express,Bi-Weekly
2014-15,6,22971/22972,Jaipur,Madurai,Premium Express,Weekly
2014-15,7,16353/16354,Nagercoil,Kacheguda,Express,Weekly
2014-15,8,53555/53556,Jasidih,Shikaripara,Passenger,Daily
2014-15,9,13131/13132,Kolkata,Anand Vihar(T),Express,Daily
2014-15,10,78821/78822,Gondia,Balaghat,DEMU,Daily
2014-15,11,22461/22462,New Delhi,Katra,AC Express,Daily
2014-15,12,56715/56716,Punalur,Kanniyakumari,Passenger,Daily
2014-15,13,19717/19718,Jaipur,Chandigarh,Express,Daily
2014-15,14,14713/14714,Sri ganganagar,Jammu Tawi,Express,Weekly
2014-15,15,69133/69134,Anand,Dakor,MEMU,Daily
2014-15,16,69135/69136,Anand,Dakor,MEMU,Daily
2014-15,17,79449/79450,Morbi,Maliya Miyana,DEMU,Daily
2014-15,18,14319/14320,Bareilly,Bhopal,Express,Weekly
2014-15,19,19453/19454,Gandhidham,Puri,Express,Weekly
2014-15,20,13063/13064,Balurghat,Howrah,Express,Daily
2014-15,21,19203/19204,Bhavnagar,Bandra (T),Express,Weekly
2014-15,22,51603/51604,Bina,Katni,Passenger,Daily
2014-15,23,14221/14222,Faizabad,Kanpur Anwarganj,Express,Daily
2014-15,24,17321/17322,Hubli,Mumbai Central,Express,Weekly
2014-15,25,56281/56282,Bangalore,Chamarajanagar,Passenger,Daily
2014-15,26,56921/56922,Hubli,Belgaum,Passenger,Daily
2014-15,27,56925/56926,Bangalore,Tumkur,Passenger,Daily
2014-15,28,76521/76522,Bangalore/ Yesvantpur,Neelamangala,DEMU,Daily
2014-15,29,76523/76524,Yesvantpur,Hosur,DEMU,6-Days a Week
2014-15,30,14611/14612,Amritsar,Gorakhpur,Express,Weekly
2014-15,31,56277/56278,Chickmagalur,Yesvantpur,Passenger,Daily
2014-15,32,16577/16578,Yesvantpur,Shivamogga Town,Express,Tri-Weekly
2014-15,33,19401/19402,Ahmedabad,Lucknow,Express,Weekly
