Particualrs, 3-2004, 3-2005, 3-2006, 3-2007, 3-2008, 3-2009, 3-2010, 3-2011, 3-2012
Total,9513.00,8516.00,8750.00,10213.00,10368.00,11497.00,11262.00,11824.00,12335.00
Electric Multiple Unit,4032.00,3831.00,4004.00,4571.00,4634.00,4893.00,4520.00,4710.00,4644.00
Mail or Express,1852.00,1618.00,1644.00,2047.00,2132.00,2619.00,2676.00,2875.00,3071.00
Ordinary Passenger Trains and Mixed Trains,3629.00,3067.00,3102.00,3595.00,3602.00,3985.00,4066.00,4239.00,4620.00
Broad Gauge,8424.00,7640.00,7955.00,9458.00,9705.00,10922.00,10730.00,11321.00,11858.00
Broad Gauge- Electric Multiple Unit,3835.00,3788.00,4004.00,4571.00,4634.00,4893.00,4520.00,4710.00,4644.00
Broad Gauge- Mail or Express,1732.00,1510.00,1550.00,1964.00,2072.00,2576.00,2642.00,2844.00,3042.00
Broad Gauge- Ordinary Passenger Trains and Mixed Trains,2852.00,2342.00,2401.00,2923.00,2999.00,3453.00,3568.00,3767.00,4172.00
Metre Gauge,947.00,735.00,650.00,622.00,523.00,439.00,392.00,366.00,340.00
Metre Gauge- Electric Multiple Unit,197.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Metre Gauge- Mail or Express,115.00,108.00,94.00,83.00,60.00,43.00,34.00,31.00,29.00
Metre Gauge- Ordinary Passenger Trains and Mixed Trains,635.00,584.00,556.00,539.00,463.00,396.00,358.00,335.00,311.00
